code_naf,activite
51.22Z,Transports spatiaux
52.23Z,Services auxiliaires des transports aériens
52.24A,Manutention portuaire
52.24B,Manutention non portuaire
52.10A,Entreposage et stockage frigorifique
52.10B,Entreposage et stockage non frigorifique
85.32Z,Enseignement secondaire technique ou professionnel
85.42Z,Enseignement supérieur
79.11Z,Activités des agences de voyage
79.12Z,Activités des voyagistes
79.90Z,Autres services de réservation et activités connexes
52.29A,"Messagerie, fret express"
52.29B,Affrètement et organisation des transports 
74.90B,"Activités spécialisées, scientifiques et techniques diverses"
53.10Z,Activités de poste dans le cadre d'une obligation de service universel 
82.19Z,"Photocopie, préparation de documents et autres activités spécialisées de soutien de bureau"
53.20Z,Autres activités de poste et de courrier
61.10Z,Télécommunications filaires
61.20Z,Télécommunications sans fil 
61.30Z,Télécommunications par satellite
61.90Z,Autres activités de télécommunication 
64.11Z,Activités de banque centrale
64.19Z,Autres intermédiations monétaires
64.91Z,Crédit-bail 
64.92Z,Autre distribution de crédit
64.99Z,"Autres activités des services financiers, hors assurance et caisses de retraite, n.c.a."
64.20Z,Activités des sociétés holding
64.30Z,Fonds de placement et entités financières similaires
65.11Z,Assurance vie
65.20Z,Réassurance
65.30Z,Caisses de retraite
65.12Z,Autres assurances
66.11Z,Administration de marchés financiers
66.12Z,Courtage de valeurs mobilières et de marchandises
66.30Z,Gestion de fonds
66.19B,"Autres activités auxiliaires de services financiers, hors assurance et caisses de retraite, n.c.a."
66.21Z,Évaluation des risques et dommages
66.22Z,Activités des agents et courtiers d'assurances
66.29Z,Autres activités auxiliaires d'assurance et de caisses de retraite
41.10A,Promotion immobilière de logements
41.10B,Promotion immobilière de bureaux
41.10C,Promotion immobilière d'autres bâtiments
41.10D,Supports juridiques de programmes
68.10Z,Activités des marchands de biens immobiliers
68.20A,Location de logements
68.20B,Location de terrains et d'autres biens immobiliers
68.31Z,Agences immobilières
68.32A,Administration d'immeubles et autres biens immobiliers
81.10Z,Activités combinées de soutien lié aux bâtiments 
66.19A,Supports juridiques de gestion de patrimoine mobilier
68.32B,Supports juridiques de gestion de patrimoine immobilier
77.11A,Location de courte durée de voitures et de véhicules automobiles légers
77.11B,Location de longue durée de voitures et de véhicules automobiles légers
77.12Z,Location et location-bail de camions
77.39Z,"Location et location-bail d'autres machines, équipements et biens matériels n.c.a. "
77.34Z,Location et location-bail de matériels de transport par eau
77.35Z,Location et location-bail de matériels de transport aérien
77.31Z,Location et location-bail de machines et équipements agricoles
77.32Z,Location et location-bail de machines et équipements pour la construction
77.33Z,Location et location-bail de machines de bureau et de matériel informatique
77.29Z,Location et location-bail d'autres biens personnels et domestiques
96.01A,Blanchisserie-teinturerie de gros
77.21Z,Location et location-bail d'articles de loisirs et de sport 
77.22Z,Location de vidéocassettes et disques vidéo
62.02A,Conseil en systèmes et logiciels informatiques
58.21Z,Édition de jeux électroniques
58.29A,Édition de logiciels système et de réseau
58.29B,Edition de logiciels outils de développement et de langages
58.29C,Edition de logiciels applicatifs
62.01Z,Programmation informatique
62.02B,Tierce maintenance de systèmes et d’applications informatiques
62.03Z,Gestion d'installations informatiques
63.11Z,"Traitement de données, hébergement et activités connexes"
60.10Z,Édition et diffusion de programmes radio
60.20A,Edition de chaînes généralistes
60.20B,Edition de chaînes thématiques
63.12Z,Portails Internet
95.11Z,Réparation d'ordinateurs et d'équipements périphériques
72.11Z,Recherche-développement en biotechnologie
72.19Z,Recherche-développement en autres sciences physiques et naturelles
72.20Z,Recherche-développement en sciences humaines et sociales
69.10Z,Activités juridiques
69.20Z,Activités comptables
73.20Z,Études de marché et sondages
70.21Z,Conseil en relations publiques et communication
85.60Z,Activités de soutien à l'enseignement
70.10Z,Activités des sièges sociaux
71.11Z,Activités d'architecture 
71.12B,"Ingénierie, études techniques"
71.12A,Activité des géomètres
74.90A,Activité des économistes de la construction
71.20A,Contrôle technique automobile
71.20B,"Analyses, essais et inspections techniques"
73.11Z,Activités des agences de publicité
73.12Z,Régie publicitaire de médias
78.10Z,Activités des agences de placement de main-d'œuvre 
78.30Z,Autre mise à disposition de ressources humaines
78.20Z,Activités des agences de travail temporaire 
80.10Z,Activités de sécurité privée 
80.30Z,Activités d'enquête
81.21Z,Nettoyage courant des bâtiments
81.22Z,Autres activités de nettoyage des bâtiments et nettoyage industriel
81.29A,"Désinfection, désinsectisation, dératisation"
81.29B,Autres activités de nettoyage n.c.a.
74.20Z,Activités photographiques
82.92Z,Activités de conditionnement
74.30Z,Traduction et interprétation
82.11Z,Services administratifs combinés de bureau
82.99Z,Autres activités de soutien aux entreprises n.c.a.
82.20Z,Activités de centres d'appels
82.30Z,"Organisation de foires, salons professionnels et congrès"
63.99Z,Autres services d'information n.c.a.
74.10Z,Activités spécialisées de design
77.40Z,"Location-bail de propriété intellectuelle et de produits similaires, à l'exception des œuvres soumises à copyright"
82.91Z,Activités des agences de recouvrement de factures et des sociétés d'information financière sur la clientèle
90.02Z,Activités de soutien au spectacle vivant
84.11Z,Administration publique générale
84.12Z,"Administration publique (tutelle) de la santé, de la formation, de la culture et des services sociaux, autre que sécurité sociale "
84.13Z,Administration publique (tutelle) des activités économiques
91.01Z,Gestion des bibliothèques et des archives
84.21Z,Affaires étrangères
88.99B,Action sociale sans hébergement n.c.a.
84.22Z,Défense
84.23Z,Justice
84.24Z,Activités d’ordre public et de sécurité
84.25Z,Services du feu et de secours
84.30A,Activités générales de sécurité sociale
84.30B,Gestion des retraites complémentaires
84.30C,Distribution sociale de revenus
85.10Z,Enseignement pré-primaire
85.20Z,Enseignement primaire
85.31Z,Enseignement secondaire général
85.41Z,Enseignement post-secondaire non supérieur
85.53Z,Enseignement de la conduite
85.51Z,Enseignement de disciplines sportives et d'activités de loisirs
85.59A,Formation continue d'adultes
85.52Z,Enseignement culturel
85.59B,Autres enseignements
86.10Z,Activités hospitalières
87.10A,Hébergement médicalisé pour personnes âgées
87.20A,Hébergement social pour handicapés mentaux et malades mentaux 
87.20B,Hébergement social pour toxicomanes
86.21Z,Activité des médecins généralistes
86.22A,Activités de radiodiagnostic et de radiothérapie
86.22B,Activités chirurgicales
86.22C,Autres activités des médecins spécialistes
86.23Z,Pratique dentaire
86.90D,Activités des infirmiers et des sages-femmes
86.90E,"Activités des professionnels de la rééducation, de l’appareillage et des pédicures-podologues"
86.90F,Activités de santé humaine non classées ailleurs
87.10B,Hébergement médicalisés pour enfants handicapés 
87.10C,"Hébergement médicalisé pour adultes handicapés et autre hébergement médicalisé 
"
87.30A,Hébergement social pour personnes âgées
87.30B,Hébergement social pour handicapés  physiques
86.90A,Ambulances
86.90B,Laboratoires d'analyses médicales
86.90C,Centres de collecte et banques d'organes
75.00Z,Activités vétérinaires
87.90A,Hébergement social pour enfants en difficultés 
87.90B,Hébergement social pour adultes et familles en difficultés et autre hébergement social 
88.91A,Accueil de jeunes enfants
88.10B,Accueil ou accompagnement sans hébergement d’adultes handicapés ou de  personnes âgées
88.10C,Aide par le travail 
88.91B,Accueil ou accompagnement sans hébergement d’enfants handicapés
88.10A,Aide à domicile  
88.99A,"Autre accueil ou accompagnement sans hébergement d’enfants
 et d’adolescents
"
38.11Z,Collecte des déchets non dangereux
94.11Z,Activités des organisations patronales et consulaires
94.12Z,Activités des organisations professionnelles
94.20Z,Activités des syndicats de  
94.91Z,Activités des organisations religieuses
94.92Z,Activités des organisations politiques
59.11A,Production de films et de programmes pour la télévision 
59.11B,Production de films institutionnels et publicitaires
59.11C,Production de films pour le cinéma
59.12Z,"Post-production de films cinématographiques, de vidéo et de programmes de télévision"
59.13A,Distribution de films cinématographiques
59.13B,Edition et distribution vidéo
59.14Z,Projection de films cinématographiques
90.01Z,Arts du spectacle vivant
90.03A,Création artistique relevant des arts plastiques
90.03B,Autre création artistique
90.04Z,Gestion de salles de spectacles
93.21Z,Activités des parcs d'attractions et parcs à thèmes
63.91Z,Activités des agences de presse
91.02Z,Gestion des musées
91.03Z,Gestion des sites et monuments historiques et des attractions touristiques similaires
91.04Z,Gestion des jardins botaniques et zoologiques et des réserves naturelles
93.11Z,Gestion d'installations sportives
93.12Z,Activités de clubs de sports
93.19Z,Autres activités liées au sport
92.00Z,Organisation de jeux de hasard et d'argent
96.01B,Blanchisserie-teinturerie de détail
96.02A,Coiffure
96.02B,Soins de beauté
96.03Z,Services funéraires
96.04Z,Entretien corporel
93.13Z,Activités des centres de culture physique
96.09Z,Autres services personnels n.c.a.
97.00Z,Activités des ménages en tant qu'employeurs de personnel domestique
98.10Z,Activités indifférenciées des ménages en tant que producteurs de biens pour usage propre
98.20Z,Activités indifférenciées des ménages en tant que producteurs de services pour usage propre
99.00Z,Activités des organisations et organismes extraterritoriaux
